model,dom,scenario,year,agc_TgC_anchored,agc_TgC_anchored_se
CBM,06,reserve,2094,1359.075,16.309
CBM,06,reserve,2095,1362.098,16.345
CBM,06,reserve,2096,1365.079,16.381
CBM,06,reserve,2097,1368.018,16.416
CBM,06,reserve,2098,1370.916,16.451
CBM,06,reserve,2099,1373.773,16.485
CBM,06,reserve,2100,1376.59,16.519
CBM,08,reserve,2025,271.63,3.64
CBM,08,reserve,2026,276.141,3.7
CBM,08,reserve,2027,280.609,3.76
CBM,08,reserve,2028,285.033,3.819
CBM,08,reserve,2029,289.414,3.878
CBM,08,reserve,2030,293.75,3.936
CBM,08,reserve,2031,298.042,3.994
CBM,08,reserve,2032,302.289,4.051
CBM,08,reserve,2033,306.49,4.107
CBM,08,reserve,2034,310.646,4.163
CBM,08,reserve,2035,314.749,4.218
CBM,08,reserve,2036,318.799,4.272
CBM,08,reserve,2037,322.797,4.325
CBM,08,reserve,2038,326.741,4.378
CBM,08,reserve,2039,330.633,4.43
CBM,08,reserve,2040,334.471,4.482
CBM,08,reserve,2041,338.255,4.533
CBM,08,reserve,2042,341.986,4.583
CBM,08,reserve,2043,345.663,4.632
CBM,08,reserve,2044,349.286,4.68
CBM,08,reserve,2045,352.856,4.728
CBM,08,reserve,2046,356.373,4.775
CBM,08,reserve,2047,359.837,4.822
CBM,08,reserve,2048,363.248,4.868
CBM,08,reserve,2049,366.605,4.913
CBM,08,reserve,2050,369.909,4.957
CBM,08,reserve,2051,373.159,5
CBM,08,reserve,2052,376.357,5.043
CBM,08,reserve,2053,379.5,5.085
CBM,08,reserve,2054,382.591,5.127
CBM,08,reserve,2055,385.634,5.167
CBM,08,reserve,2056,388.63,5.208
CBM,08,reserve,2057,391.578,5.247
CBM,08,reserve,2058,394.48,5.286
CBM,08,reserve,2059,397.334,5.324
CBM,08,reserve,2060,400.141,5.362
CBM,08,reserve,2061,402.901,5.399
CBM,08,reserve,2062,405.613,5.435
CBM,08,reserve,2063,408.279,5.471
CBM,08,reserve,2064,410.897,5.506
CBM,08,reserve,2065,413.472,5.541
CBM,08,reserve,2066,416.005,5.574
CBM,08,reserve,2067,418.495,5.608
CBM,08,reserve,2068,420.943,5.641
CBM,08,reserve,2069,423.348,5.673
CBM,08,reserve,2070,425.711,5.705
CBM,08,reserve,2071,428.031,5.736
CBM,08,reserve,2072,430.309,5.766
CBM,08,reserve,2073,432.544,5.796
CBM,08,reserve,2074,434.737,5.825
CBM,08,reserve,2075,436.893,5.854
CBM,08,reserve,2076,439.013,5.883
CBM,08,reserve,2077,441.097,5.911
CBM,08,reserve,2078,443.145,5.938
CBM,08,reserve,2079,445.157,5.965
CBM,08,reserve,2080,447.133,5.992
CBM,08,reserve,2081,449.072,6.018
CBM,08,reserve,2082,450.976,6.043
CBM,08,reserve,2083,452.843,6.068
CBM,08,reserve,2084,454.674,6.093
CBM,08,reserve,2085,456.473,6.117
CBM,08,reserve,2086,458.238,6.14
CBM,08,reserve,2087,459.971,6.164
CBM,08,reserve,2088,461.672,6.186
CBM,08,reserve,2089,463.34,6.209
CBM,08,reserve,2090,464.975,6.231
CBM,08,reserve,2091,466.577,6.252
CBM,08,reserve,2092,468.147,6.273
CBM,08,reserve,2093,469.684,6.294
CBM,08,reserve,2094,471.189,6.314
CBM,08,reserve,2095,472.667,6.334
CBM,08,reserve,2096,474.118,6.353
CBM,08,reserve,2097,475.543,6.372
CBM,08,reserve,2098,476.94,6.391
CBM,08,reserve,2099,478.312,6.409
CBM,08,reserve,2100,479.656,6.427
CBM,09,reserve,2025,64.47,2.147
CBM,09,reserve,2026,65.079,2.167
CBM,09,reserve,2027,65.683,2.187
CBM,09,reserve,2028,66.283,2.207
CBM,09,reserve,2029,66.878,2.227
CBM,09,reserve,2030,67.469,2.247
CBM,09,reserve,2031,68.055,2.266
CBM,09,reserve,2032,68.637,2.286
CBM,09,reserve,2033,69.214,2.305
CBM,09,reserve,2034,69.787,2.324
CBM,09,reserve,2035,70.356,2.343
CBM,09,reserve,2036,70.92,2.362
CBM,09,reserve,2037,71.48,2.38
CBM,09,reserve,2038,72.036,2.399
CBM,09,reserve,2039,72.588,2.417
CBM,09,reserve,2040,73.135,2.435
CBM,09,reserve,2041,73.679,2.453
CBM,09,reserve,2042,74.218,2.471
CBM,09,reserve,2043,74.753,2.489
CBM,09,reserve,2044,75.284,2.507
CBM,09,reserve,2045,75.811,2.525
CBM,09,reserve,2046,76.334,2.542
CBM,09,reserve,2047,76.853,2.559
CBM,09,reserve,2048,77.368,2.576
