model,dom,scenario,year,agc_TgC_anchored,agc_TgC_anchored_se
CEM,35,reserve,2080,76.792,2.469
CEM,35,reserve,2085,75.365,2.389
CEM,35,reserve,2090,74.167,2.885
CEM,35,reserve,2095,73.15,2.432
CEM,35,reserve,2100,72.369,2.399
CEM,32,reserve,2025,54.14,0.572
CEM,32,reserve,2030,53.902,0.67
CEM,32,reserve,2035,53.584,0.793
CEM,32,reserve,2040,53.242,0.762
CEM,32,reserve,2045,52.787,0.976
CEM,32,reserve,2050,52.34,1.069
CEM,32,reserve,2055,51.89,1.108
CEM,32,reserve,2060,51.362,1.087
CEM,32,reserve,2065,50.939,1.128
CEM,32,reserve,2070,50.446,1.178
CEM,32,reserve,2075,49.781,1.271
CEM,32,reserve,2080,49.223,1.262
CEM,32,reserve,2085,48.601,1.184
CEM,32,reserve,2090,47.977,1.235
CEM,32,reserve,2095,47.394,1.363
CEM,32,reserve,2100,46.715,1.434
CEM,36,reserve,2025,592.43,4.194
CEM,36,reserve,2030,538.107,5.284
CEM,36,reserve,2035,504.007,5.838
CEM,36,reserve,2040,474.737,5.472
CEM,36,reserve,2045,450.171,6.633
CEM,36,reserve,2050,427.208,7.449
CEM,36,reserve,2055,406.727,7.426
CEM,36,reserve,2060,388.778,6.539
CEM,36,reserve,2065,373.607,6.705
CEM,36,reserve,2070,360.755,6.301
CEM,36,reserve,2075,349.137,6.242
CEM,36,reserve,2080,339.658,5.602
CEM,36,reserve,2085,330.875,5.225
CEM,36,reserve,2090,323.618,5.188
CEM,36,reserve,2095,316.748,5.243
CEM,36,reserve,2100,311.047,5.331
CEM,39,reserve,2025,250.86,4.591
CEM,39,reserve,2030,235.978,5.221
CEM,39,reserve,2035,228.393,5.272
CEM,39,reserve,2040,221.616,5.171
CEM,39,reserve,2045,213.916,5.577
CEM,39,reserve,2050,206.252,6.256
CEM,39,reserve,2055,198.335,6.424
CEM,39,reserve,2060,190.363,6.439
CEM,39,reserve,2065,183.574,6.391
