plot_id,plt_cn,eco
20214,65280103010661,50
20214,66006722010661,47
20214,66083178010661,51
20214,92625376010661,51
20214,65892060010661,50
20214,65992024010661,52
20215,64993305010661,50
20215,68775493010661,49
20216,68863360010661,50
20216,65280318010661,50
20216,65050639010661,52
20216,65146429010661,50
20216,65809736010661,49
20216,65686102010661,49
20217,92305671010661,50
20217,65279488010661,49
20218,92299419010661,47
20218,92291914010661,51
20218,65280375010661,50
20218,68742161010661,50
20219,65149158010661,50
20219,65686366010661,49
20220,65756297010661,49
20220,65686489010661,49
20221,64808497010661,50
20221,65306503010661,50
20222,66058793010661,51
20222,65731256010661,47
20222,68875470010661,49
20222,65280503010661,50
20222,65724225010661,52
20223,68693107010661,51
20223,65686801010661,49
20224,65827503010661,51
20224,65084844010661,49
20224,65947132010661,51
20225,65870021010661,50
20225,68646295010661,50
20225,64903418010661,49
20225,65280656010661,50
20226,65908790010661,50
20226,65782738010661,50
20227,92336815010661,51
20227,65906320010661,50
20228,65911393010661,49
20228,68842139010661,52
20228,65280750010661,50
20229,68856660010661,50
20229,65280864010661,50
20229,65677672010661,51
20230,68777580010661,49
20230,65311699010661,50
20230,65183083010661,51
20230,65217760010661,47
20230,65280916010661,50
20230,65949521010661,51
20231,65281071010661,50
20231,65217826010661,51
20231,66057800010661,52
20232,65996409010661,51
20232,64739100010661,51
20232,65911543010661,49
20233,65825307010661,47
20234,65154665010661,52
20234,68774206010661,49
20234,65804682010661,51
20234,64928761010661,50
20234,68787923010661,51
20234,65911593010661,49
20235,65746494010661,50
20236,65061915010661,50
20236,65911865010661,49
20236,65840003010661,50
20237,68661488010661,51
20237,65124321010661,51
20238,68661638010661,51
20238,65911970010661,49
20238,65807176010661,51
20238,65937225010661,50
20239,65912024010661,49
20239,66085512010661,48
20239,68695078010661,51
20239,65587201010661,51
20240,65858772010661,50
20240,64748776010661,50
20240,68892771010661,50
20240,65192296010661,50
20240,68879739010661,50
20240,68692792010661,51
20240,65587949010661,51
20241,65305498010661,51
20241,68891111010661,50
20241,65281625010661,49
20242,92644286010661,49
20242,92271983010661,51
20242,92627618010661,49
20242,65745738010661,48
20243,65686959010661,49
