PLOT,FIA_PLOT,FIRST_PLTCN,FIRST_INVYR,PUB_LAT,PUB_LONG,COUNTYCD,N_CYCLES,BIOM_2000_Mgha,BIOM_2001_Mgha,BIOM_2002_Mgha,BIOM_2003_Mgha,BIOM_2004_Mgha,BIOM_2005_Mgha,BIOM_2006_Mgha,BIOM_2007_Mgha,BIOM_2008_Mgha,BIOM_2009_Mgha,BIOM_2010_Mgha,BIOM_2011_Mgha,BIOM_2012_Mgha,BIOM_2013_Mgha,BIOM_2014_Mgha,BIOM_2015_Mgha,BIOM_2016_Mgha,BIOM_2017_Mgha,BIOM_2018_Mgha,BIOM_2019_Mgha,BIOM_2020_Mgha,BIOM_2021_Mgha,BIOM_2022_Mgha,BIOM_2023_Mgha,BIOM_2024_Mgha,BIOM_2025_Mgha
164,20064,63624784010661,2000,45.33427,-88.916781,67,5,68.164,,,,,67.613,,,,,85.244,,,,,95.48,,,,,,,30.622,,,
165,20064,63678328010661,2000,45.84136,-88.812586,41,5,26.514,,,,,39.069,,,,,70.708,,,,,,92.53,,,,,,,143.958,,
166,20064,64401629010661,2002,43.483959,-88.381008,131,5,,,61.235,,,,,48.81,,,,,81.399,,,,,,97.04,,,,,,,76.788
167,20065,63660186010661,2000,46.188423,-92.184179,31,5,58.231,,,,,91.013,,,,,76.885,,,,,65.165,,,,,,,101.39,,,
168,20065,63803115010661,2001,42.61203,-88.542253,127,5,,34.91,,,,,36.485,,,,,45.542,,,,,,52.964,,,,,,,67.066,
169,20065,63856866010661,2001,45.100686,-92.335371,109,5,,70.511,,,,,84.571,,,,,37.437,,,,,,47.788,,,,,,,68.704,
170,20066,63771275010661,2000,44.049591,-90.375881,81,5,21.769,,,,,44.691,,,,,74.157,,,,,102.712,,,,,,,153.687,,,
171,20066,63620176010661,2000,42.524415,-87.934371,59,5,160.324,,,,,182.699,,,,,137.076,,,,,,160.057,,,,,,,186.249,,
172,20067,63694492010661,2000,43.542312,-91.043216,123,5,1.936,,,,,3.682,,,,,4.923,,,,,,10.113,,,,,,,23.983,,
173,20067,64233095010661,2001,45.960647,-88.553431,37,5,,39.876,,,,,42.906,,,,,55.415,,,,,,64.831,,,,,,,60.268,
174,20067,64353626010661,2001,44.106524,-90.332026,81,5,,45.035,,,,,42.143,,,,,47.013,,,,,,63.998,,,,,,,68.405,
175,20068,63651075010661,2000,45.693526,-87.935103,75,5,40.879,,,,,52.474,,,,,49.879,,,,,,75.052,,,,,,,96.531,,
176,20068,63705657010661,2000,46.07945,-91.698662,129,5,12.03,,,,,10.742,,,,,11.488,,,,,,23.863,,,,,,,38.048,,
